Crop,Water Use (m³/kg),Irrigation Type,Climate,Yield (tons/ha),Water-Saving Practices,Water Pollution (Grey Water) (m³/kg),Soil Type,Water Scarcity,Post-Harvest Processing (Liters/kg),Fertilizer Use (kg/ha),Pesticide Use (kg/ha),Organic Practices,Green Water Use (m³/kg),Blue Water Use (m³/kg),Crop Cycle Duration (days),Harvest Season,Temperature Requirement (°C),Rainfall Requirement (mm/year),CO2 Emission (kg/ha),Land Use (ha/kg),Crop Rotation Practices,Average Farm Size (ha),Processing Water Recycling,Local Market,Export Market,Genetically Modified,Irrigation Efficiency (%),Seed Use (kg/ha),Labor Intensity
Cucumbers,18528,Drip,Tropical,5.91,None,877,Loamy,High,87,287,53,Yes,1427,12178,203,Spring,26,299,4.825697923,2.136817895,Yes,19.54835774,Yes,No,No,Yes,87,28,High
Peppers,18835,None,Semi-arid,2.33,Efficient Irrigation,714,Silty,Severe,138,109,49,Yes,4300,644,239,Spring,31,979,2.515591707,4.901411616,Yes,10.28783145,No,No,No,No,61,76,Medium
Corn,1655,None,Temperate,9.58,Crop Cover,437,Clayey,Low,125,75,92,Yes,3425,6946,242,Autumn,10,1965,7.530655344,0.452025268,No,7.618235295,Yes,No,No,No,59,84,Low
Wheat,18942,Flood,Temperate,7.78,None,601,Loamy,Low,106,120,83,Yes,1063,602,209,Summer,35,1582,8.397556455,0.768925634,Yes,10.44930286,No,Yes,Yes,No,83,74,Medium
Pears,10203,Flood,Tropical,5.14,Crop Cover,472,Loamy,High,115,216,29,Yes,390,14786,364,Summer,10,487,7.58935038,0.49465269,No,2.488836427,No,Yes,Yes,No,60,83,Medium
Garlic,6462,Flood,Semi-arid,9.12,Crop Cover,754,Silty,High,87,267,35,No,1493,2255,149,Summer,23,719,1.596219575,4.437264019,Yes,5.562843917,Yes,No,No,Yes,60,53,High
Avocados,8604,Flood,Continental,2.26,Crop Cover,133,Silty,Severe,26,151,51,Yes,1405,253,245,Summer,10,954,6.883598475,3.439125026,Yes,7.100383,No,Yes,No,Yes,91,49,High
Peas,18898,Flood,Mediterranean,5.93,Efficient Irrigation,774,Sandy,Severe,157,272,98,Yes,1015,9451,91,Autumn,14,1998,7.195510476,3.802789951,Yes,15.51842168,No,Yes,No,Yes,75,94,Medium
Strawberries,3837,Drip,Continental,7.44,None,747,Loamy,Severe,189,178,65,No,1034,12351,292,Spring,34,898,8.149213033,1.444632624,Yes,19.89490145,No,Yes,Yes,Yes,56,38,High
Zucchini,5577,Drip,Semi-arid,1.06,Mulching,810,Loamy,High,114,224,19,Yes,1561,11378,67,Summer,14,819,7.219277528,3.740257965,No,4.373676513,Yes,Yes,Yes,No,71,38,Medium
Cotton,17339,Sprinkler,Tropical,4.86,Crop Cover,745,Silty,High,126,75,35,Yes,3938,8104,208,Winter,13,464,9.634635565,0.868828501,No,2.867796479,No,No,No,Yes,87,81,Medium
Peaches,19137,None,Arid,7.27,Mulching,426,Clayey,Severe,111,243,65,Yes,1518,3259,299,Winter,31,1325,7.047844667,2.717615368,Yes,3.572353082,Yes,Yes,No,Yes,59,95,High
Broccoli,1328,Sprinkler,Mediterranean,1.13,Efficient Irrigation,885,Clayey,High,93,247,82,No,906,8417,173,Autumn,26,1933,1.837491569,4.724329239,No,13.69402384,No,No,No,Yes,71,12,Low
Garlic,18228,Drip,Mediterranean,7.45,Efficient Irrigation,877,Loamy,Moderate,161,189,37,No,4910,14382,273,Winter,33,967,6.090688912,3.632251491,No,7.723940215,No,Yes,No,No,73,96,Low
Cotton,1655,None,Tropical,8.54,Mulching,921,Clayey,Low,137,170,75,Yes,4606,5783,88,Winter,38,1881,1.519218404,0.41025853,No,9.400871314,No,No,No,No,71,61,Low
Oats,16645,Drip,Continental,9.95,None,151,Sandy,Severe,141,52,18,No,3945,8699,61,Winter,14,1349,4.267123342,4.668187112,No,15.54777767,Yes,Yes,No,No,53,63,Medium
Mangoes,745,Sprinkler,Temperate,1.98,Mulching,608,Sandy,Low,34,204,43,Yes,1508,12785,147,Autumn,32,557,5.718723473,0.245940382,No,7.014874736,Yes,Yes,No,No,58,66,Low
Cotton,3569,Flood,Arid,1.58,Efficient Irrigation,268,Clayey,High,121,67,24,Yes,4826,3884,201,Spring,28,1318,2.433324513,4.210021228,Yes,10.59377275,Yes,Yes,No,Yes,64,89,High
Maize,10758,Drip,Arid,5.35,None,996,Loamy,Severe,115,56,20,No,2363,2089,299,Spring,30,1635,7.588012708,0.203942649,Yes,14.99156518,No,Yes,Yes,Yes,79,83,Medium
Cucumbers,18500,Drip,Semi-arid,5.56,Mulching,846,Clayey,Severe,186,178,49,No,1598,897,63,Spring,38,502,6.939478576,1.823252819,Yes,1.083901124,Yes,Yes,Yes,No,81,20,Medium
Apples,14614,None,Temperate,5.82,Efficient Irrigation,139,Clayey,High,25,218,87,No,2907,1678,189,Autumn,17,614,4.297711795,3.48169695,No,16.42373179,No,No,Yes,Yes,87,67,High
Spinach,15696,Flood,Continental,8.82,None,302,Loamy,Severe,103,269,57,Yes,990,8995,131,Spring,12,1433,3.384794568,1.240360559,No,12.04938921,No,No,No,Yes,59,62,High
Cherries,12722,Flood,Tropical,1.31,None,225,Silty,Severe,88,72,33,Yes,705,6999,112,Winter,14,1130,6.005261715,2.926948039,No,14.62927987,Yes,No,Yes,Yes,69,11,High
Bananas,12336,Drip,Tropical,1,Efficient Irrigation,398,Clayey,Moderate,158,137,35,Yes,3798,5664,120,Autumn,15,1761,8.61680108,2.687098452,No,5.465839903,No,No,Yes,No,51,40,Low
Garlic,8054,Drip,Mediterranean,6.9,Efficient Irrigation,689,Silty,Moderate,31,153,94,Yes,1476,12129,179,Autumn,28,621,3.787104171,0.12039911,Yes,2.882616919,No,Yes,Yes,No,58,58,High
Blueberries,5771,Flood,Continental,3.11,Efficient Irrigation,927,Clayey,High,37,272,100,No,723,13002,224,Spring,29,1227,5.734404411,2.719177039,Yes,13.1764438,No,Yes,Yes,No,94,13,Low
Plums,8510,Sprinkler,Semi-arid,2.33,Crop Cover,918,Clayey,Severe,81,129,60,No,3691,9651,264,Summer,11,1883,1.215220816,0.493782625,Yes,18.16136134,No,No,No,No,85,58,Medium
Lettuce,7819,Sprinkler,Arid,2.07,Efficient Irrigation,973,Silty,Severe,11,57,25,No,3822,5861,61,Autumn,18,1912,3.693267328,1.307281978,Yes,10.41643694,No,Yes,Yes,Yes,56,81,High
Cotton,2843,Drip,Arid,8.2,Efficient Irrigation,121,Loamy,Moderate,21,268,16,Yes,4971,11465,128,Summer,19,1257,8.721590876,4.35501076,No,7.753615374,Yes,Yes,No,Yes,55,44,High
Rice,16848,Sprinkler,Temperate,9.37,Efficient Irrigation,471,Sandy,Low,15,215,65,Yes,3703,1980,327,Summer,13,534,9.533433343,3.50715593,Yes,6.385285295,No,Yes,Yes,No,81,59,Low
Pumpkins,18097,Drip,Mediterranean,1.72,Mulching,438,Silty,Low,84,176,29,No,4210,14978,173,Summer,15,1015,4.433044916,1.984281251,Yes,9.943407619,Yes,Yes,Yes,No,88,80,Low
Spinach,10231,None,Arid,1.26,None,111,Silty,High,121,275,24,Yes,1785,2310,217,Summer,16,662,8.44498522,0.845717366,Yes,9.503198325,No,No,Yes,Yes,67,62,Low
Peppers,19238,None,Arid,9.31,Mulching,145,Sandy,Moderate,60,286,52,No,2429,2888,327,Autumn,15,1938,2.867738711,2.23282225,Yes,11.54272442,No,No,Yes,Yes,62,30,High
Melons,6783,Flood,Semi-arid,3.88,None,559,Clayey,Low,60,196,61,Yes,2105,4756,173,Spring,40,1392,3.877348712,3.085839501,No,6.438712238,No,No,Yes,Yes,53,92,Medium
Lettuce,13697,Flood,Mediterranean,2.92,Efficient Irrigation,641,Sandy,Low,35,244,45,Yes,1397,12399,304,Autumn,35,1040,3.651741934,1.750458658,No,8.014289704,Yes,Yes,Yes,No,71,60,Medium
Rice,16741,None,Semi-arid,9.4,Efficient Irrigation,143,Silty,High,102,278,40,No,1349,505,334,Summer,25,953,4.115630626,1.097311589,Yes,4.324623649,Yes,Yes,Yes,No,72,67,Low
Pineapples,16400,Flood,Tropical,4.89,Crop Cover,892,Clayey,Low,152,117,100,No,2374,8882,224,Spring,29,1277,5.540822011,3.187103751,No,5.4296355,No,Yes,Yes,No,91,44,Low
Peppers,3210,Sprinkler,Mediterranean,7.56,Efficient Irrigation,302,Silty,Moderate,44,128,59,Yes,407,13621,184,Summer,34,1153,4.670762602,0.121837411,Yes,2.245471877,Yes,Yes,No,Yes,77,50,Medium
Bananas,6450,Sprinkler,Arid,6.25,Mulching,474,Loamy,Low,163,83,17,No,3256,4061,175,Spring,24,1555,5.862865894,3.892674346,Yes,15.6399227,No,Yes,Yes,No,62,90,High
Melons,9325,None,Tropical,9.19,Mulching,435,Silty,Low,161,154,52,Yes,4309,11895,248,Summer,38,1579,5.967244951,1.203008299,No,10.10822108,Yes,No,No,No,60,92,High
Peaches,2486,None,Tropical,9.71,None,475,Sandy,Severe,39,238,41,Yes,3829,14523,176,Autumn,10,1648,8.09623474,4.415997259,No,12.05963125,No,No,No,No,87,78,High
Strawberries,2080,Flood,Temperate,9.02,Crop Cover,380,Silty,Low,149,212,13,Yes,3789,10212,111,Spring,10,471,3.102847117,4.706514544,Yes,15.03781509,Yes,Yes,Yes,Yes,94,23,Medium
Bananas,17092,Sprinkler,Tropical,5.6,Crop Cover,274,Sandy,Moderate,200,267,25,No,3807,8447,355,Autumn,31,1740,6.446294775,2.802903076,Yes,12.24291467,Yes,No,No,Yes,66,50,High
Beans,15415,None,Arid,4.64,Crop Cover,999,Sandy,Moderate,112,191,24,No,3531,12664,165,Spring,11,986,5.986128812,0.829441833,No,6.706463387,No,No,Yes,Yes,81,66,Medium
Bananas,13835,Sprinkler,Continental,3.94,None,848,Sandy,Severe,82,177,94,Yes,3683,7772,76,Winter,25,355,3.001589838,4.181440815,No,7.127421869,Yes,Yes,Yes,No,83,18,High
Peppers,5235,Sprinkler,Mediterranean,2.48,Crop Cover,653,Sandy,High,169,71,74,Yes,4410,10096,61,Summer,19,1674,5.887705353,4.283695819,Yes,1.911522268,No,Yes,No,Yes,52,62,Medium
Peas,14079,Drip,Mediterranean,1.52,Efficient Irrigation,333,Silty,High,164,286,86,No,3057,14652,350,Spring,37,771,7.623578816,2.556088617,Yes,16.76322215,No,No,No,No,70,54,Medium
Lettuce,11416,Sprinkler,Semi-arid,4.77,Crop Cover,281,Sandy,Severe,192,52,21,Yes,696,10097,161,Summer,21,1874,2.841555086,1.359422484,No,19.13157394,No,No,Yes,No,75,14,High
Grapes,3267,Sprinkler,Temperate,2.18,None,358,Sandy,Severe,157,116,71,Yes,3962,5508,335,Winter,35,1603,8.040287512,4.804241015,No,6.497846156,No,No,No,Yes,50,78,Low
Tomatoes,2551,None,Semi-arid,3.91,Mulching,693,Clayey,Severe,160,297,56,Yes,1794,2580,209,Summer,23,320,3.281315469,4.739557336,Yes,3.043896682,Yes,Yes,No,No,53,67,Medium
Cucumbers,14908,Drip,Tropical,8.06,None,256,Clayey,Moderate,119,234,66,No,2181,12945,237,Winter,27,1929,5.646726678,4.130885073,Yes,2.624628952,No,No,No,No,86,73,Low
Potatoes,18035,Drip,Semi-arid,2.75,Efficient Irrigation,942,Clayey,Moderate,171,223,14,No,4734,5655,124,Summer,15,1558,2.825267961,1.266046434,No,2.212669414,Yes,No,No,Yes,83,41,Medium
Tomatoes,17308,Flood,Arid,9.16,None,251,Silty,Severe,34,261,47,No,3836,13424,152,Winter,30,1891,1.874937633,0.117320472,No,8.819504136,Yes,Yes,Yes,Yes,62,78,Medium
Maize,10417,Drip,Temperate,7.65,None,173,Clayey,Low,118,77,95,Yes,3230,3178,187,Winter,16,708,3.094949042,2.065876817,Yes,2.679745406,Yes,Yes,No,Yes,77,19,High
Zucchini,5270,None,Semi-arid,3.14,None,239,Sandy,Severe,34,262,77,No,4824,9662,317,Winter,20,1035,6.794034258,0.809540772,No,2.932511347,No,Yes,No,Yes,77,15,Medium
Squash,4614,Drip,Temperate,2.32,Mulching,139,Sandy,Moderate,195,204,91,No,659,5565,297,Autumn,36,898,4.940671234,4.453118771,No,12.28889298,No,Yes,No,No,93,41,Medium
Barley,4292,Drip,Arid,9.68,Crop Cover,855,Silty,Severe,14,222,55,No,4712,1548,266,Spring,25,1849,9.245109059,3.037122015,No,1.736716485,Yes,Yes,No,No,69,75,High
Broccoli,1303,Sprinkler,Semi-arid,3.53,Crop Cover,656,Silty,Severe,177,179,69,No,1723,10959,179,Spring,26,229,2.391427016,4.224261408,No,9.193981876,No,No,Yes,Yes,71,41,High
Cotton,4023,Drip,Mediterranean,1.09,Mulching,789,Loamy,High,198,276,14,Yes,321,5091,333,Summer,36,1241,5.025729125,2.62178179,Yes,1.488088715,Yes,Yes,No,Yes,51,43,Low
Wheat,17351,Drip,Arid,8.16,Crop Cover,620,Silty,Moderate,108,82,10,No,3030,8813,235,Spring,11,1848,3.500846153,1.041563731,Yes,7.46264578,No,Yes,Yes,Yes,89,10,Low
Spinach,1370,Flood,Tropical,5.28,Crop Cover,559,Loamy,Severe,91,226,24,Yes,4434,1197,134,Summer,39,328,5.197204983,2.12307662,Yes,17.8692999,Yes,Yes,No,No,65,36,High
Bananas,17573,None,Mediterranean,6.75,Efficient Irrigation,589,Silty,Severe,52,295,69,No,3233,7835,291,Spring,27,1871,6.27912299,0.672737209,Yes,10.42606631,Yes,No,No,No,76,79,Low
Pumpkins,19754,None,Tropical,6.04,Efficient Irrigation,108,Clayey,Low,160,208,20,Yes,826,10997,327,Spring,18,1409,3.892941347,0.803807255,Yes,14.10835492,No,Yes,Yes,No,55,57,Low
Garlic,18506,None,Temperate,8.48,None,200,Silty,Moderate,102,101,94,No,1138,9516,62,Winter,38,1623,1.849766601,3.983459997,No,1.403945467,No,No,Yes,No,50,86,Medium
Melons,5637,Drip,Mediterranean,3.05,Efficient Irrigation,286,Clayey,Low,33,106,36,Yes,4209,7616,222,Winter,38,1116,5.131871953,4.398794635,No,8.189368832,Yes,No,Yes,No,53,42,Medium
Garlic,4393,Flood,Temperate,2.06,None,547,Clayey,High,108,236,20,Yes,1571,9746,277,Summer,17,1350,8.274722535,1.354838022,No,9.647684101,No,No,No,No,78,97,High
Pumpkins,6530,Drip,Temperate,4.9,None,214,Clayey,High,110,59,62,No,2120,6951,64,Autumn,40,1774,1.583296921,4.218936267,No,9.999630739,No,Yes,Yes,Yes,76,49,Low
Melons,17927,Flood,Semi-arid,5.41,None,772,Loamy,Low,143,213,51,Yes,3687,14705,156,Summer,31,1031,1.302619638,1.622448039,Yes,5.154673666,No,Yes,No,Yes,71,56,Medium
Pineapples,12648,Flood,Arid,7.44,Crop Cover,631,Silty,Severe,178,189,15,Yes,4737,9228,76,Summer,27,1228,6.97141003,2.924918277,Yes,16.86704176,No,Yes,Yes,No,54,17,Low
Corn,17399,None,Continental,7.13,Efficient Irrigation,372,Loamy,High,197,242,37,No,2187,9148,98,Winter,19,1617,2.669379023,0.602041879,No,6.393110422,Yes,No,Yes,No,82,24,Low
Cucumbers,12651,None,Tropical,5.45,Mulching,733,Clayey,Severe,148,135,88,Yes,3183,9983,264,Autumn,37,1922,8.079801952,3.246279311,No,11.46596595,No,Yes,No,Yes,79,100,Medium
Plums,11701,Sprinkler,Continental,9.16,Crop Cover,895,Sandy,Moderate,76,133,90,No,3927,9795,365,Winter,39,433,2.104030287,0.414681221,No,6.04170474,No,Yes,No,No,57,83,Medium
Strawberries,3039,Sprinkler,Continental,2.13,Crop Cover,453,Clayey,Low,171,98,61,Yes,770,2142,282,Spring,26,752,7.545602323,4.236672852,Yes,16.70862651,Yes,No,Yes,Yes,88,90,Low
Quinoa,12569,Drip,Semi-arid,4.36,Crop Cover,989,Silty,Severe,118,101,25,Yes,648,2613,195,Spring,31,1729,1.358909398,0.485731727,Yes,18.59496408,Yes,Yes,No,No,59,66,High
Lettuce,17999,Flood,Temperate,7.17,Crop Cover,952,Loamy,Low,122,210,39,Yes,3352,14471,146,Summer,39,1794,5.346151956,1.475587273,No,5.594616141,No,No,Yes,Yes,55,71,Low
Beans,8582,Sprinkler,Continental,9.2,Crop Cover,140,Sandy,High,16,177,57,No,2420,9506,198,Summer,30,1258,8.02517139,3.113949448,Yes,6.088214501,Yes,Yes,Yes,No,85,35,Medium
Rice,8810,Drip,Arid,3.66,Efficient Irrigation,741,Clayey,Low,127,115,99,No,4232,1173,211,Winter,32,1441,5.436101205,3.104557536,No,13.82754211,No,Yes,Yes,Yes,57,27,High
Apples,2947,Flood,Tropical,1.93,Crop Cover,877,Silty,Moderate,60,275,44,Yes,1690,6591,174,Spring,23,399,7.053451622,1.195931051,No,18.73586443,Yes,Yes,Yes,No,63,97,Medium
Cabbage,17881,None,Continental,6.99,Efficient Irrigation,538,Loamy,Moderate,167,50,38,Yes,3409,4225,162,Winter,14,594,3.626706796,1.943501897,Yes,16.86182592,No,Yes,Yes,Yes,50,62,High
Zucchini,19906,Flood,Mediterranean,8.05,Mulching,631,Clayey,Severe,182,141,98,Yes,4789,10913,327,Winter,27,1340,8.659349102,4.145548624,No,19.8806266,Yes,No,Yes,Yes,95,48,Low
Melons,12177,None,Mediterranean,7.38,None,845,Loamy,Severe,64,159,86,Yes,1857,10604,284,Spring,14,873,4.57352825,3.21422717,Yes,14.21737486,No,Yes,No,Yes,79,18,Medium
Strawberries,14601,Drip,Tropical,8.07,None,238,Clayey,Severe,30,99,25,Yes,4525,3070,210,Summer,27,598,2.216944272,2.985404281,No,3.996877035,No,No,Yes,No,64,89,Medium
Squash,19707,Flood,Mediterranean,4.39,None,144,Sandy,Moderate,15,50,77,No,3638,1739,156,Autumn,12,1485,7.82698065,3.654891374,Yes,10.06004995,Yes,No,Yes,Yes,83,54,High
Grapes,11574,Flood,Temperate,3.66,Mulching,680,Loamy,High,40,274,84,No,4637,13286,106,Winter,37,1866,7.994252648,4.848657384,Yes,2.30552744,Yes,No,No,Yes,65,51,Medium
